 99 01 16 03     -8.5     -5.0     -6.7     -8.9     -6.7 
 99 01 16 04     -8.4     -6.1     -7.2     -9.3     -7.2 
 99 01 16 06     -9.3     -6.7     -6.7     -9.0     -6.7 
 99 01 16 02     -6.8     -4.4     -6.7     -9.1     -7.2 
 99 01 16 13     -1.4     -1.1     -2.8     -6.6     -5.0 
 99 01 16 18     -2.8     -3.3     -5.0     -7.4     -6.7 
 99 01 16 07     -9.1     -6.1     -6.7     -8.8     -6.7 
 99 01 16 17     -3.6     -4.4     -5.6     -7.8     -6.7 
 99 01 16 12     -2.8     -0.6     -2.2     -6.1     -5.0 
 99 01 16 08     -9.3     -6.7     -7.2     -7.9     -6.1 
 99 01 16 22     -1.5     -2.8     -4.4     -7.6     -6.7 
 99 01 16 14     -2.1     -2.8     -4.4     -8.0     -6.7 
 99 01 16 01     -3.8     -3.3     -6.7     -9.3     -7.2 
 99 01 16 23     -1.4     -2.2     -4.4     -8.0     -6.7 
 99 01 16 19     -2.2     -3.3     -4.4     -7.3     -6.7 
 99 01 16 09     -9.3     -5.6     -6.1     -8.2     -6.7 
 99 01 17 04     -4.5     -5.0     -6.1     -9.1     -7.8 
 99 01 17 11     -7.7     -8.3     -9.4    -12.2    -11.1 
 99 01 17 02     -3.1     -3.9     -5.6     -8.2     -7.2 
 99 01 17 23     -3.3     -4.4     -5.6     -7.8     -7.8 
 99 01 17 16     -7.2     -7.8     -9.4    -11.9    -11.1 
 99 01 17 18     -5.4     -6.7     -7.8    -10.8    -10.0 
 99 01 17 12     -8.2     -8.9    -10.0    -12.7    -11.7 
 99 01 17 20     -2.7     -5.0     -6.7     -8.7     -8.9 
 99 01 17 14     -8.3     -8.9    -10.0    -13.1    -11.7 
 99 01 17 01     -1.9     -2.8     -5.0     -8.1     -6.7 
 99 01 17 22     -2.9     -5.0     -5.6     -7.8     -7.8 
 99 01 17 13     -8.4     -8.9    -10.0    -13.2    -12.2 
 99 01 17 19     -4.2     -6.1     -7.2     -9.7     -9.4 
 99 01 17 21     -2.6     -5.0     -6.1     -8.1     -8.3 
 99 01 17 00     -1.5     -1.7     -4.4     -8.1     -6.7 
 99 01 17 03     -3.7     -4.4     -5.6     -8.6     -7.2 
 99 01 17 08     -6.4     -7.2     -7.8    -10.6     -9.4 
 99 01 17 05     -4.7     -5.6     -6.7     -9.4     -8.3 
 99 01 17 10     -7.4     -8.3     -9.4    -11.7    -10.6 
 99 01 17 17     -6.3     -7.2     -8.9    -11.4    -10.6 
 99 01 17 09     -6.8     -7.8     -8.3    -11.1    -10.0 
 99 01 17 07     -5.8     -6.7     -7.2    -10.2     -8.9 
 99 01 17 15     -7.8     -8.3     -9.4    -12.4    -11.1 
 99 01 18 04     -1.8     -2.2     -3.9     -5.7     -5.0 
 99 01 18 10     -0.2      0.0     -1.1     -4.8     -3.9 
 99 01 18 20      1.1      0.6     -1.7     -5.7     -3.9 
 99 01 18 09     -0.4     -0.6     -1.1     -4.7     -3.9 
 99 01 18 07     -1.2     -1.7     -2.8     -5.3     -4.4 
 99 01 18 11     -0.2     -0.6     -1.7     -5.1     -4.4 
 99 01 18 00     -3.7     -4.4     -5.6     -7.9     -7.2 
 99 01 18 22      0.5     -0.6     -2.8     -5.7     -4.4 
 99 01 18 03     -3.0     -3.3     -4.4     -6.3     -5.6 
 99 01 18 15      0.2      1.1     -1.1     -5.6     -3.9 
 99 01 18 19      1.1      1.1     -1.7     -5.7     -3.9 
 99 01 18 18      1.2      1.1     -1.7     -5.7     -3.9 
